리뷰,음식유형,리뷰2,리뷰3,리뷰4,label,토큰화된리뷰
맛있어서 남기지 않아요,양식,['맛있다'],맛있다,맛있다,1,[1]
부모님 모시고 가게된 유성호선장집 대게 셋트를 주문해서 먹었는데 처음으로 돈이 아깝다라고 느끼게 되었네요 ㅠㅠ  홀에서 일하시는분들도 손님들에게 조금만 신경써줬으면 하는 아쉬움이 많이 드네요,해산물,['아깝다'],아깝다,아깝다,0,[20]
김치전은 한국자는 푸세요사장님 을 잃기 싫어서 을 잃는 표현이 저런 표현이 아닐까 싶습니다 돌짜장 참 좋아해서 보리강정 참 좋아해서 자주 갔었는데 저표현을 고객들 올때마다 분 간격으로 계속 메아리처럼 얘기해주셔서 참 별로였습니다맛은 예전과 유사했지만 과도한 인색함은 고객을 등 돌리게 한답니다,중식,"['싫다', '아니다', '좋아하다', '좋아하다', '유사하다', '인색하다']",싫다 아니다 좋아하다 좋아하다 유사하다 인색하다,싫다 아니다 좋아하다 좋아하다 유사하다 인색하다,0,"[49, 6, 23, 23]"
왕돈까스 크고 맛있어요스파께티  인양으로는  적당해요 맛있게  먹었어요,양식,"['맛있다', '적당하다', '맛있다']",맛있다 적당하다 맛있다,맛있다 적당하다 맛있다,1,"[1, 66, 1]"
싸든비싸든벗꽃철엔한그릇 밀면,한식,['비싸다'],비싸다,비싸다,0,[9]
식전빵도 아주 상콤하게 맛있고 제일 베스트인 먹물오징어 파스타는 첨 먹어보는데 아주 요물이였어요 트러플 파스타는 트러플 향이 잘 안나네 했는데 알고보니 밑에 깔려있더라구요 잘 섞어서 맛있게 먹었어요,양식,"['맛있다', '맛있다']",맛있다 맛있다,맛있다 맛있다,1,"[1, 1]"
고기양이많아서 너무좋아요 ㅠㅠㅠ ,중식,"['많다', '좋다']",많다 좋다,많다 좋다,1,"[8, 2]"
저녁먹고 눚게 갓더니 빵이 없어요ㅠㅠ 두개남은 치즈케이크 부랴부랴 겟,카페,['없다'],없다,없다,0,[3]
케이크가 치즈랑 흑임자 두가지있었는데 시그니처라해서 흑임자 고르고 계산하려니 반납 트레이에 남겨진 케이크가 보이더라고요 아 잘못 골랐구나 했는데 제 개인적인 느낌은 여긴 인테리어에 돈 쓰고 식재료 좋은 거 쓰는 곳은 아니구나 였습니다 사진의 빵은 절반이상 버려졌어요 남기면 포장하지 생각했는데 갖고 가도 버려질 맛이었어요 시나몬스틱은 시나몬 맛 거의 안나고 설탕맛 서걱서걱 씹히고 케이크는 크림이 너무 느끼하고 흑임자는 위에 뿌려진 가루가 다 인가 어쩐지 케이크가 저렴하다했어요  서울에서 왔다고 뷰 좋은 카페라도 데려간 언니는 매우 미안해했네요 다시 울산 오면 믿고 거를 집 알게 되었으니 다행이라 했어요 언니가 데려온 이유는 연못뷰였는데 지금은 공사중이라 저흰 포크레인 뷰와 함께 차를 마셨어요 ,카페,"['있다', '좋다', '아니다', '느끼하다', '저렴하다', '좋다', '미안하다', '희다']",있다 좋다 아니다 느끼하다 저렴하다 좋다 미안하다 희다,있다 좋다 아니다 느끼하다 저렴하다 좋다 미안하다 희다,1,"[4, 2, 6, 26, 68, 2, 85, 229]"
너무 맛있고 점장님 짱,한식,['맛있다'],맛있다,맛있다,1,[1]
서비스마인드 개판입니다정말 불친절합니다 손님이 오든가든 아무도 신경안쓰고 공기밥추가할께요 하니 쌩까고 가져오더니 툭던져서 손까락으로 밀어버리고 일하는분들 인상장난아님  나참 어이가없어서무서워서 밥먹겠나기분좋게 밥먹으러와서 밥맛다떨어져서 가네요장사의 기본부터 다시 배우세요재방문의사 없음,한식,"['이다', '불친절하다', '아니다', '없다', '무섭다', '좋다', '없다']",이다 불친절하다 아니다 없다 무섭다 좋다 없다,이다 불친절하다 아니다 없다 무섭다 좋다 없다,0,"[11, 14, 6, 3, 189, 2, 3]"
비싸요,카페,['비싸다'],비싸다,비싸다,0,[9]
예약시간보다 분 먼저 도착했으나 예약시간보다 분 더 늦게 안내해주네요 저녁 일정이 있어서 예약도 미리하고 좀 서둘렀는데 의미 없었음,양식,"['있다', '없다']",있다 없다,있다 없다,0,"[4, 3]"
음식 맛이 계속 떨어지네요별로 먹지 못해서 돈 아깝다는 생각마저 듭니다 바삭한 식감도 없고 눅눅하고 짜고전체적으로 별로였습니다음식 맛에 신경 좀 써야할 듯,양식,"['아깝다', '없다', '눅눅하다']",아깝다 없다 눅눅하다,아깝다 없다 눅눅하다,0,"[20, 3, 151]"
맛있어요 ,한식,['맛있다'],맛있다,맛있다,1,[1]
너므 맛있어요,일식,['맛있다'],맛있다,맛있다,1,[1]
평일에방문해서 대기없이 입장했고주문한음식 빨리  나와서   맛있게 먹고 있어요투움바파스타 맛있고 목살 스테이크 기본샐러드도맛나고강추합니다,양식,"['맛있다', '있다', '맛있다', '추하다']",맛있다 있다 맛있다 추하다,맛있다 있다 맛있다 추하다,1,"[1, 4, 1, 40]"
아이들이랑 먹어서 맛을 모르게쒀여 가격이 좀 비싼편같아요,한식,"['비싸다', '같다']",비싸다 같다,비싸다 같다,0,"[9, 5]"
코로나때문에 방콕만 하다가 몇달만에 첫 가족외식이었는데 방문해보니 마스크 쓰기라든지 거리두기는 완전 실종 상태였습니다 그건 저희 가적도 마찬가지로 여러사람들이 이용하는 부페를 간거기때문에 할말이 없다치더라도 음식중 아이들이 좋아하는 연어초밥의 연어 상태도 안좋았고동남아 면요리들에 들어가는 쌀국수도 삶아 헹군것이 아니라 얇은면에 소스 얹어 먹는것이라 그다지 맛은 없었습니다 작년 연말 모임때 갔을땐 만족이었는데 이번엔 실망이커서 애들은 재방문 의사가 전혀 없답니다,양식,"['없다', '좋아하다', '안좋다', '아니다', '얇다', '없다', '없다']",없다 좋아하다 안좋다 아니다 얇다 없다 없다,없다 좋아하다 안좋다 아니다 얇다 없다 없다,0,"[3, 23, 67, 6, 139, 3, 3]"
직원들이 항상 불친절해요,디저트,['불친절하다'],불친절하다,불친절하다,0,[14]
설날 가족모임으로 대왕암옆 하라검을 찾았어요 진주냉면 한우국밥 다 맛있네요 음식은 게눈 감추듯 먹어버리고 죄송하네요 음식 맛있고 분위기 좋고 가성비 좋은 식당이네요 대왕암오면 꼭 방문하세요,한식,"['맛있다', '죄송하다', '맛있다', '좋다', '좋다']",맛있다 죄송하다 맛있다 좋다 좋다,맛있다 죄송하다 맛있다 좋다 좋다,1,"[1, 48, 1, 2, 2]"
짜증나는 음식점 식사중인데 사장이와서 전기파리체 들고와서 바로내옆에서 파리잡고있어 한마디하고 나왔음,한식,['짜증나다'],짜증나다,짜증나다,0,[94]
진짜 식당갔던곳중에 서비스 최악입니다 사람많아서 바쁜거도 이해하고 기다리다가 여러번 이야기했는데도 계속 순서가 되야 갖다준다고만 하고 그때 바로 확인을 하던지 고기 다처먹고 훨씬 뒤늦게 온사람들도 밥이 다나오길래 다시 한번더 이야기하니깐 주문안들어갔다고 자기가 주문받은게 아니라 모른다고 변명만 하시더라구요 미안하단 말한마디도 없구요 그럼 주문받은사람 데려오시던지요 진짜 고기값도 싼것도 아니면서 기분도 최악이고 기다려서 먹을 맛도 아니네요 인생 최악 음식점입니다 리뷰 알바쓰시나요,한식,"['이다', '많다', '바쁘다', '뒤늦다', '아니다', '미안하다', '없다', '그렇다', '아니다', '아니다', '이다']",이다 많다 바쁘다 뒤늦다 아니다 미안하다 없다 그렇다 아니다 아니다 이다,이다 많다 바쁘다 뒤늦다 아니다 미안하다 없다 그렇다 아니다 아니다 이다,0,"[11, 8, 22, 172, 6, 85, 3, 12, 6, 6, 11]"
사장님이 손님입장에서 어떻게 알차게 먹을지 고민해주시고 게가 다 신선해서 딱히 고를 필요도 없었어요 진짜 잘 먹었습니다 다음에 또 올게요 ㅋㅋ,해산물,"['어떻다', '알차다', '신선하다', '딱하다', '없다']",어떻다 알차다 신선하다 딱하다 없다,어떻다 알차다 신선하다 딱하다 없다,0,"[56, 141, 34, 90, 3]"
울산삼산맛집이 아니라 전국맛집이래도 손색없어요오메가듬뿍 들기름국수 짱입니다,일식,"['아니다', '없다', '이다']",아니다 없다 이다,아니다 없다 이다,0,"[6, 3, 11]"
피자 종류는 다양해서 좋은데 좀 더 따뜻했으면 해요저녁시간인데 야채가 싱싱하지 않아요,양식,"['다양하다', '좋다', '따뜻하다', '싱싱하다']",다양하다 좋다 따뜻하다 싱싱하다,다양하다 좋다 따뜻하다 싱싱하다,1,"[30, 2, 107, 131]"
음료 너무 비쌈 ,카페,['비싸다'],비싸다,비싸다,0,[9]
집안행사일때면 항상 이용하는곳이예요먹어도 먹어도 또 먹고싶은 대게는 역시 대게명가꼭 한번 가보세요후회없으실거여요,해산물,['없다'],없다,없다,0,[3]
새벽에 갔는데도 사람이 정말 많아요 너무 맛있었어요 볶음밥까지,한식,"['많다', '맛있다']",많다 맛있다,많다 맛있다,1,"[8, 1]"
맛있어요 담에 또 갈거같아요,카페,"['맛있다', '같다']",맛있다 같다,맛있다 같다,1,"[1, 5]"
좋아요,양식,['좋다'],좋다,좋다,1,[2]
특별한날 식사 하기 좋은 가게예요 인테리어두 깔금하구 음식두 맛있었어요 ,양식,"['특별하다', '좋다', '맛있다']",특별하다 좋다 맛있다,특별하다 좋다 맛있다,1,"[33, 2, 1]"
음식이 깔끔하고 맛있어요,일식,"['깔끔하다', '맛있다']",깔끔하다 맛있다,깔끔하다 맛있다,1,"[15, 1]"
이렇게 더운날엔 냉소바가 최고잘 먹고 갑니다,일식,['덥다'],덥다,덥다,0,[25]
소풍가다 여행가다점 리모델링 후 첨 왔는데 너무 뷰도 좋고 구석구석 다 너무 예뻐요커피도 맛있고 에이도도 맛있고 피자도   ,카페,"['좋다', '예쁘다', '맛있다', '맛있다']",좋다 예쁘다 맛있다 맛있다,좋다 예쁘다 맛있다 맛있다,1,"[2, 28, 1, 1]"
울산 도심에서 한옥을 즐길 수 있는 싱귤러커페음료에 자부심이 있어서 그런지 역시 라는 말이아메리카노와 수제로 만든 바닐라 시럽을 넣어서 만들어 그런지 커피맛이 좋더라고요 디저트로 먹었던 절미 크로플도 쫄깃고소 브런치로 너무 좋았어요,카페,"['있다', '있다', '그렇다', '그렇다', '좋다', '좋다']",있다 있다 그렇다 그렇다 좋다 좋다,있다 있다 그렇다 그렇다 좋다 좋다,1,"[4, 4, 12, 12, 2, 2]"
맛있어요,일식,['맛있다'],맛있다,맛있다,1,[1]
화장실에서 하수구냄새너무나요  그리고 포장해달랬더니 호일째로 갖다줌일회용기를 갖다주면 직접포장하는건 합리적이고 괜찮습니다 하지만 용기에 호일하나 안깔아주고 직접하라고 롤을 갖다주는건 매우 성의없어보이네요손님도 별로없어서 안바쁘더만,양식,"['괜찮다', '없다', '없다', '바쁘다']",괜찮다 없다 없다 바쁘다,괜찮다 없다 없다 바쁘다,0,"[17, 3, 3, 22]"
빵값이 밥값보다 비싼것같은데 모두들  빵끊기 힘드실듯,디저트,"['비싸다', '같다', '힘들다']",비싸다 같다 힘들다,비싸다 같다 힘들다,0,"[9, 5, 24]"
울산 맛집 맞네요 흑돼지 돈까스 정말 부드럽고 입에 살살 녹아 여행 중 두 끼를 여기서 먹었습니다다음에도 또 오고 싶네요,양식,['부드럽다'],부드럽다,부드럽다,1,[36]
새로 오픈한곳이라서 깔끔하고 상큼한맛은 있었지만 음식은 다른곳에서 먹었던것보다 딱히 특출한것은 없는듯하네요 그리고 디저트부분이 너무많이 아쉬워요 다른곳에비해 평범한느낌이더파티하면디저트가 생각나는데 훨씬못미치는 느낌이라서,양식,"['새롭다', '깔끔하다', '있다', '딱하다', '특출하다', '없다', '아쉽다', '평범하다', '미치다']",새롭다 깔끔하다 있다 딱하다 특출하다 없다 아쉽다 평범하다 미치다,새롭다 깔끔하다 있다 딱하다 특출하다 없다 아쉽다 평범하다 미치다,0,"[51, 15, 4, 90, 3, 10, 121, 81]"
세트에 에이드는 착즙이아니라 너무 달아요 그냥 탄산수 시키세여 다른음식은 괜찮습니다  저는 런치때라 더 나은거같아요 세트말고 뇨끼랑 따로 시켜드시길 추천,양식,"['아니다', '괜찮다', '같다']",아니다 괜찮다 같다,아니다 괜찮다 같다,0,"[6, 17, 5]"
여름에 시원하게 눈꽃막국수 딱 좋아요,일식,"['시원하다', '좋다']",시원하다 좋다,시원하다 좋다,1,"[53, 2]"
탕수육 고기를 신선한걸 쓰는게 느껴지고 짬뽕 국물도 맛있었습니다 새우볶음밥도 너무 맛있어서 또 오고 싶은곳이에요,중식,"['신선하다', '맛있다', '맛있다']",신선하다 맛있다 맛있다,신선하다 맛있다 맛있다,1,"[34, 1, 1]"
샐러드스프나오는 시간과 스테이크 나오는 간격이 너무길었습니다이미 샐러드 다먹고 한참 지나서 스테이크파스타나오네요굽기도 미디엄웰던이였는데 너무 레어였어요더구워달라고 하고싶었는데 또 너무길어질까봐 그냥먹었습니다오늘은 너무아쉬웠습니다포터하우스계열이 저번에도 그랬는데 굽기가 계속아쉽네요굽기도었,양식,"['길다', '덥다', '아쉽다', '아쉽다']",길다 덥다 아쉽다 아쉽다,길다 덥다 아쉽다 아쉽다,0,"[102, 25, 10, 10]"
브랜드빵집도 아니고 유명한 동네빵집도 아닌데 비싸요,디저트,"['아니다', '유명하다', '아니다', '비싸다']",아니다 유명하다 아니다 비싸다,아니다 유명하다 아니다 비싸다,0,"[6, 55, 6, 9]"
고기랑 사이드 전부 맛있게 먹었어요고기가 너무 부드러워요,한식,"['맛있다', '부드럽다']",맛있다 부드럽다,맛있다 부드럽다,1,"[1, 36]"
맛있었습니다 다음 방문예정,일식,['맛있다'],맛있다,맛있다,1,[1]
직원 응대가 너무 합니다직원한테 말하는데 자기들끼리 저 계산하는데 제 앞에서  무슨말이야 몰라 이러네요ㅎㅎ너무합니다 진짜,디저트,['너무하다'],너무하다,너무하다,0,[123]
많이 바쁜 와중에도 직원들이 친절하게 서비스하는게 좋았습니다,양식,"['바쁘다', '친절하다', '좋다']",바쁘다 친절하다 좋다,바쁘다 친절하다 좋다,1,"[22, 7, 2]"
뷰는 저녁이라 모르겠고 가격이 사악하네요아이스 제품은 맛나는듯,카페,['사악하다'],사악하다,사악하다,0,[216]
분위기도 좋고 꼭 추천합니당 ㅎㅎ 뇨끼 맛집으로 찾아와서 맛있게 먹구 갑니당,양식,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"[2, 1]"
인테리어도 너무 이쁘고 맛도 좋아요,일식,"['이쁘다', '좋다']",이쁘다 좋다,이쁘다 좋다,1,"[32, 2]"
구석자리에앉아서인지 서버들 부르기도힘들고 어떻게 피클이나 탄산음료 달라고하면 안오셔서 두세번씩 요청드렸었는데 죄송하다며 아이스크림 서비스로주셔서 감사했어요 카페가려고했는데 챙겨주시는게감사해서 다먹고왔습니다,양식,"['힘들다', '어떻다', '죄송하다']",힘들다 어떻다 죄송하다,힘들다 어떻다 죄송하다,0,"[24, 56, 48]"
음식이 ㅠㅠ 맛이 없어요 ㅠㅠ,양식,['없다'],없다,없다,0,[3]
처음이라 몰랐는데 메인요리를 제외하고 계속 서비스가 나왔어요왜 음식이 계속 나오냐며 ㅋㅋㅋㅋㅋ 당황ㅋㅋ뭐가 나왔는지 기억이 잘 안나는데마지막 라면까지 단 한가지도 맛없는게 없었네요직원분들도 너무 친절 잘 먹었습니다 또 가볼게요,한식,"['맛없다', '없다']",맛없다 없다,맛없다 없다,0,"[27, 3]"
처음 왔는데 비 오는 바닷가 풍경 보면서 커피와 디저트 너무 좋네요 공휴일이라 솔드아웃 메뉴가 좀 있어서 아쉽긴 해요 ㅠㅠ,카페,"['좋다', '있다', '아쉽다']",좋다 있다 아쉽다,좋다 있다 아쉽다,1,"[2, 4, 10]"
카레가 맛있어요 그리고 치마 입고 왔는데 직원분께서 담요도 챙겨주셨습니다  너무 감동이에요 ,양식,['맛있다'],맛있다,맛있다,1,[1]
가격대비 비싸기만 하고 별루입니다,한식,"['비싸다', '이다']",비싸다 이다,비싸다 이다,0,"[9, 11]"
오늘처음가봤는데요ㅡ해물짬뽕시켯는데ㅡ그 흔한 홍합하나도 생물인게없네요ㅡ올냉동이네요ㅡ탕수육은 껍질벗겨가며 먹어야했고ㅡ단무지는 상태가왜그런거죠 물러서ㅜ ,중식,"['흔하다', '없다', '야하다']",흔하다 없다 야하다,흔하다 없다 야하다,0,"[211, 3, 31]"
시원한 냉모밀해장으로  쵝오,일식,['시원하다'],시원하다,시원하다,1,[53]
카레 일본에서 먹는맛이예요 소코카츠도 대박입미닷,양식,['밉다'],밉다,밉다,0,[71]
가격이 비싼 편이라고 하는데 이 정도 퀄리티면 괜찮다고 생각해요,해산물,"['비싸다', '괜찮다']",비싸다 괜찮다,비싸다 괜찮다,0,"[9, 17]"
맛있어요 다음에 또 올게요,일식,['맛있다'],맛있다,맛있다,1,[1]
아이졸업식후 식사하러가기위해 미리예약했더니 졸업축하한다며 아란치니에 이쁘게 글적어 음료와 함께 서비스도 주셨네요 음식도 너무 맛있고 깔끔하고 분위기도 좋고 직원분들도 친절하셔서 너무너무 기분좋게 식사하고 왔답니다 게스트로는 자주자주 방문해야겠어요 ,양식,"['이쁘다', '맛있다', '깔끔하다', '좋다', '친절하다', '좋다']",이쁘다 맛있다 깔끔하다 좋다 친절하다 좋다,이쁘다 맛있다 깔끔하다 좋다 친절하다 좋다,1,"[32, 1, 15, 2, 7, 2]"
좋아요,카페,['좋다'],좋다,좋다,1,[2]
추운겨울 따뜻하고 맛있는  얼큰김치 우동 좋아요분위기도 좋아요,일식,"['따뜻하다', '맛있다', '좋다', '좋다']",따뜻하다 맛있다 좋다 좋다,따뜻하다 맛있다 좋다 좋다,1,"[107, 1, 2, 2]"
음식 다 맛있어요 다음에 또 갈거에요ㅎㅎㅎ매장앞에 핀 벚꽃까지 분위기도 좋아요,양식,"['맛있다', '좋다']",맛있다 좋다,맛있다 좋다,1,"[1, 2]"
낙지가 아주 싱싱하고 탱글탱글해요매콥해서 밥이랑 찰떡궁합이에요오이 냉국이랑 잡채도 넘 맛있어요,한식,"['싱싱하다', '탱글탱글하다', '맛있다']",싱싱하다 탱글탱글하다 맛있다,싱싱하다 탱글탱글하다 맛있다,1,"[131, 1]"
맛있어요 자주와요 ㅎㅎ 항상 친절하게 해주셔서 감사해요,양식,"['맛있다', '친절하다']",맛있다 친절하다,맛있다 친절하다,1,"[1, 7]"
가격대비 싸고 좋은거같아요,한식,"['좋다', '같다']",좋다 같다,좋다 같다,1,"[2, 5]"
맛있어용,한식,['맛있다'],맛있다,맛있다,1,[1]
계단은 싫지만 이계단은 올라갈때마다 좋아요평일 저녁에도 사람많은 한가위,한식,"['싫다', '좋다', '많다']",싫다 좋다 많다,싫다 좋다 많다,1,"[49, 2, 8]"
음식은 괜찮았어요마지막에 주차등록이 제대로 되어있지 않아 곤란했네요다시 전화해 등록후 출차했으나 전화받으신분이 매니저분께 전달후 전화주신댔으나 이번에도 누락인가보네요 가시는분들 꼭 출차전 등록 누락없는지 확인하시길,양식,"['괜찮다', '곤란하다', '전화하다', '없다']",괜찮다 곤란하다 전화하다 없다,괜찮다 곤란하다 전화하다 없다,0,"[17, 122, 3]"
기대햇던거만큼 맛나게 먹었어요살아이도 잘 먹네요,일식,['덥다'],덥다,덥다,0,[25]
맛은 고기서 고기 비쌈,한식,['비싸다'],비싸다,비싸다,0,[9]
남자알바생 불친절하고 컵이 플라스틱인데 립스틱 자국 다 남아있네요 바빠도 쫌 심합니다 저컵에만 있는게 아니라 다 그러네요 위생은 신경썼으면 좋겠습니다,카페,"['불친절하다', '바쁘다', '심하다', '있다', '아니다', '그렇다', '좋다']",불친절하다 바쁘다 심하다 있다 아니다 그렇다 좋다,불친절하다 바쁘다 심하다 있다 아니다 그렇다 좋다,0,"[14, 22, 47, 4, 6, 12, 2]"
베이커리류 맛있고 커피도 맛있어요 골든슈페너 추천합니다  뷰도 넘 좋아요,카페,"['맛있다', '맛있다', '좋다']",맛있다 맛있다 좋다,맛있다 맛있다 좋다,1,"[1, 1, 2]"
매장인테리어음식맛 분위기 직원 뷰어느것 하나 빠지는거 도 없는 최고의 맛집 이집 무조건 가세요 난 이미 단골 예약,양식,['없다'],없다,없다,0,[3]
울산 최고 뇨끼맛집이라해서 부산에서 왔습니당이렇게 노릇하게 굽힌건 처음먹는데 식감도좋고 맛있네용ㅠㅠㅠ근데 모르고 시켰는데  라구가 진짜 미친맛도리ㅠㅜㅠㅠㅠ아 이거 진짜 라구 소문내야됩니다 ㅠㅜ부산에 전파할게요ㅠ,양식,"['좋다', '맛있다', '미치다']",좋다 맛있다 미치다,좋다 맛있다 미치다,1,"[2, 1, 81]"
줄서서 먹을 맛은 아니네요,중식,['아니다'],아니다,아니다,0,[6]
엄마랑 같이갔어요너무 만족했어요 굿굿,양식,['만족하다'],만족하다,만족하다,1,[35]
샐러드 스테이크는 맛있고 로제파스타는 별루였어요,양식,['맛있다'],맛있다,맛있다,1,[1]
점심엔 메뉴나오는데 매우매우느려요 분정도 기다렸습니당먹는속도가더빨라용,양식,"['느리다', '빨르다']",느리다 빨르다,느리다 빨르다,0,[99]
맛있고 친절해요,한식,"['맛있다', '친절하다']",맛있다 친절하다,맛있다 친절하다,1,"[1, 7]"
대게를 자주 먹는 편인데 이집 물건 좋네요 잘먹고 갑니다,해산물,['좋다'],좋다,좋다,1,[2]
저녁에 가니 홀이 춥고 딸기가 들어간 빵을 먹으려고 갔는데 아직 나오지않은건지 안나오는건지 여튼 아쉬웠습니다,디저트,['아쉽다'],아쉽다,아쉽다,0,[10]
블루크랩 로제가 젤 맛있어요,양식,['맛있다'],맛있다,맛있다,1,[1]
창문이 더러워서 뿌옇게보여서 별루네요컵도 리유저블컵ㅠ,카페,"['더럽다', '뿌옇다']",더럽다 뿌옇다,더럽다 뿌옇다,0,[62]
포장해서 먹었는데 밥에서 돌나왔어요전화드리니 의심 무엇돈이라도 바라고 전화한것처럼 여기셔서 기분상했네요이런일도 있으니 더 주의를 하라고연락드렸더니 주문 여기서 한거 맞냐며 재차 묻는통에 괜히 기분만 나빴네요안심돈까스는 고기가 너무차가워서 정말별로였어요,양식,"['전화하다', '있다', '나쁘다', '차갑다']",전화하다 있다 나쁘다 차갑다,전화하다 있다 나쁘다 차갑다,0,"[122, 4, 18, 75]"
그냥 그래요 웨이팅하면서 먹을집은아닌듯 손님들 받기만 급급한거같아요 ,한식,"['그렇다', '아니다', '급하다', '같다']",그렇다 아니다 급하다 같다,그렇다 아니다 급하다 같다,0,"[12, 6, 74, 5]"
가성비로 여기만한 곳 별로 없어요,한식,['없다'],없다,없다,0,[3]
직원들 너무 불친절하네요음식 담을려고 하니 그렇게하면 다 묻는다느니 분걸린댔는데 왜이렇게 빨리 왔냐는듯이 기다릴꺼예요 하고 묻질않나잡담하고 핸드폰 만지고성남동 더파티에서 결혼도 하고 돌잔치도 해서 맛보장은 될거라 생각하고 갔는데 음식도 그저그렇고  내돈주고 더시는 안갈듯해요,양식,"['불친절하다', '그렇다', '덥다']",불친절하다 그렇다 덥다,불친절하다 그렇다 덥다,0,"[14, 12, 25]"
음식도 맛잇고 직원분들 너무 친절하셔서 배부르게 잘먹고 갑니다 ,한식,"['친절하다', '배부르다']",친절하다 배부르다,친절하다 배부르다,1,"[7, 45]"
인테리어도 이쁘고 밖에 구경하면서 멍때리기 너무 좋아요 음료도 맛있고 특별한 디저트가 있어서 좋습니다,카페,"['이쁘다', '좋다', '맛있다', '특별하다', '있다', '좋다']",이쁘다 좋다 맛있다 특별하다 있다 좋다,이쁘다 좋다 맛있다 특별하다 있다 좋다,1,"[32, 2, 1, 33, 4, 2]"
맛있어요,한식,['맛있다'],맛있다,맛있다,1,[1]
음식들도 깔끔하고 맛있다고 같이가신분들이 만족하셧어요디저트종류도 엄청 많고 다 맛있어서 너무나 좋았어요두번째 방문이엿는데 담번엔 가족들 모시고 갈려구요인테리어도 너무 멋져요,양식,"['깔끔하다', '맛있다', '만족하다', '많다', '맛있다', '좋다', '멋지다']",깔끔하다 맛있다 만족하다 많다 맛있다 좋다 멋지다,깔끔하다 맛있다 만족하다 많다 맛있다 좋다 멋지다,1,"[15, 1, 35, 8, 1, 2, 42]"
뷰가 좋고 시내지만 시외에 온 듯한기분이 들어요마당이 멃어서 애들 제리고 오기도 좋고 음식도 맛있어요한치먹물리조또는 맵지만 특별하게 맛있고 트러플 화이트 라그 파케리가 제일 맛있네요주말 브런치로 가족끼리 좋은 시간 보냈어요,양식,"['좋다', '좋다', '맛있다', '특별하다', '맛있다', '맛있다', '좋다']",좋다 좋다 맛있다 특별하다 맛있다 맛있다 좋다,좋다 좋다 맛있다 특별하다 맛있다 맛있다 좋다,1,"[2, 2, 1, 33, 1, 1, 2]"
더운여름에는 제격이에요,일식,['덥다'],덥다,덥다,0,[25]
좋아요,일식,['좋다'],좋다,좋다,1,[2]
음식은 쏘쏘 상추 더 주문할려고 벨 번 눌러도 점원이 안오고 매장이 어수선함 매장내  어떤 손님 두명 술 취해 크게 떠드는데 아무도 제지 안함,한식,"['어수선하다', '어떻다']",어수선하다 어떻다,어수선하다 어떻다,0,"[80, 56]"
여기 방문할려구 부산에서 왔는데 역시 온 보람이있었어요양도 많고 너무 맛있게 잘먹었습니다ㅎㅎ닉쿤닮으신분 서비스 주셔서 너무 감사합니다사장님이랑 직원분들 너무 친절히 대해주셔서 또 방문할게요,한식,"['있다', '많다', '맛있다', '친절하다']",있다 많다 맛있다 친절하다,있다 많다 맛있다 친절하다,1,"[4, 8, 1, 7]"
와보니까 매장도 쾌적하고 좋아요 음식도 금방 나오고 맛있습니다,일식,"['쾌적하다', '좋다', '맛있다']",쾌적하다 좋다 맛있다,쾌적하다 좋다 맛있다,1,"[100, 2, 1]"
좋아요,양식,['좋다'],좋다,좋다,1,[2]
좋아요,디저트,['좋다'],좋다,좋다,1,[2]
리필 부탁드리면서 한그릇까지는 못 먹을것 같아 저는 반만 달라 했는데 밥만 나오다니 좀 어처구니 없었지만 마스크 쓰고 있어서 제 발음이 안 좋았었나 생각하고 카레를 다시 부탁드려서 받은 그릇 보고 어이가 없어서ㅋ 저거 숟가락으로 떠보니까 한 스푼 이더라구요 상식적으로 밑반찬도 없는데 밥만 퍼 먹나요 반만 달라할때 한 번 되묻지도 않고 밥만 덜렁 내려놓고 가신걸 넘어가려 했더니 친구 처럼 밥도 카레도 한그릇이었으면 반이 밥으로 들렸구나 싶겠는데 카레도 좀 주세요에 나온게 밥 한그릇과 카레 한스푼이라니 이렇게 카레 한스푼으로 조롱당할 줄 몰랐네요리필하고 맨 밥만 퍼먹다 갔다는 다른 분 리뷰도 있는거 보니 가게 안에 붙여둔 양이 부족한 분을 위한 소코아의 정 이라는게 적어도 삼산점에는 없나봅니다,양식,"['부탁드리다', '같다', '없다', '있다', '좋다', '부탁드리다', '없다', '없다', '당하다', '있다', '부족하다', '없다']",부탁드리다 같다 없다 있다 좋다 부탁드리다 없다 없다 당하다 있다 부족하다 없다,부탁드리다 같다 없다 있다 좋다 부탁드리다 없다 없다 당하다 있다 부족하다 없다,0,"[79, 5, 3, 4, 2, 79, 3, 3, 146, 4, 39, 3]"
좋아요 ,한식,['좋다'],좋다,좋다,1,[2]
매장이 깔끔해요,카페,['깔끔하다'],깔끔하다,깔끔하다,1,[15]
진짜 직원분들도 친절하시고 음식도 맛있어요 ㅜㅡㅜ양도 생각보다 괜찮구 인테리어가 되게 빈티지하더라구요,양식,"['친절하다', '맛있다', '괜찮다']",친절하다 맛있다 괜찮다,친절하다 맛있다 괜찮다,1,"[7, 1, 17]"
진짜 맛있어요왕추천,양식,['맛있다'],맛있다,맛있다,1,[1]
